"Date","Price","Open","High","Low","Change %"
"Jul 26, 2021","10.1293","10.0696","10.1624","10.0583","0.58%"
"Jul 25, 2021","10.0705","10.0723","10.0879","10.0655","0.10%"
"Jul 23, 2021","10.0603","10.0766","10.0976","10.0091","-0.07%"
"Jul 22, 2021","10.0676","10.0697","10.1386","10.0288","-0.23%"
"Jul 21, 2021","10.0912","10.0996","10.1454","10.0459","0.05%"
"Jul 20, 2021","10.0862","10.1334","10.1587","10.0078","-0.25%"
"Jul 19, 2021","10.1111","10.0648","10.1587","10.0155","0.59%"
"Jul 16, 2021","10.0518","10.1242","10.1440","10.0089","-0.60%"
"Jul 15, 2021","10.1123","10.1701","10.1823","10.0860","-0.45%"
"Jul 14, 2021","10.1577","10.1573","10.1992","10.1218","0.13%"
"Jul 13, 2021","10.1447","10.2499","10.2619","10.1272","-0.93%"
"Jul 12, 2021","10.2395","10.2820","10.3003","10.2117","-0.25%"
"Jul 09, 2021","10.2655","10.2980","10.3110","10.2305","-0.24%"
"Jul 08, 2021","10.2899","10.2468","10.3204","10.2228","0.51%"
"Jul 07, 2021","10.2379","10.2773","10.2922","10.2172","-0.29%"
"Jul 06, 2021","10.2678","10.2880","10.3125","10.2266","-0.07%"
"Jul 05, 2021","10.2753","10.3080","10.3364","10.2576","-0.21%"
"Jul 02, 2021","10.2970","10.2662","10.3301","10.2332","0.48%"
"Jul 01, 2021","10.2480","10.3277","10.3441","10.2348","-0.68%"
"Jun 30, 2021","10.3182","10.3958","10.4190","10.2581","-0.64%"
"Jun 29, 2021","10.3842","10.3547","10.4259","10.3079","0.29%"
"Jun 28, 2021","10.3538","10.4643","10.4734","10.3427","-0.83%"
"Jun 25, 2021","10.4405","10.3914","10.5084","10.3332","0.58%"
"Jun 24, 2021","10.3801","10.3079","10.4152","10.2873","0.84%"
"Jun 23, 2021","10.2940","10.3318","10.3642","10.2383","-0.25%"
"Jun 22, 2021","10.3197","10.4509","10.4835","10.2912","-1.17%"
"Jun 21, 2021","10.4415","10.3748","10.4748","10.3420","0.90%"
"Jun 18, 2021","10.3487","10.3836","10.4040","10.2873","-0.20%"
"Jun 17, 2021","10.3692","10.3251","10.4180","10.2575","0.50%"
"Jun 16, 2021","10.3174","10.3775","10.4194","10.2552","-0.44%"
"Jun 15, 2021","10.3631","10.2635","10.4265","10.2302","1.11%"
"Jun 14, 2021","10.2494","10.1564","10.2868","10.0358","1.01%"
"Jun 11, 2021","10.1470","10.2556","10.3020","10.0681","-0.99%"
"Jun 10, 2021","10.2486","10.4609","10.4698","10.2359","-1.90%"
"Jun 09, 2021","10.4471","10.4749","10.5077","10.4338","-0.17%"
"Jun 08, 2021","10.4645","10.4986","10.5294","10.4257","0.12%"
"Jun 07, 2021","10.4515","10.5473","10.5681","10.4390","-0.75%"
"Jun 04, 2021","10.5304","10.5552","10.6057","10.4868","-0.06%"
"Jun 03, 2021","10.5364","10.4916","10.6038","10.4604","0.55%"
"Jun 02, 2021","10.4785","10.4270","10.7324","10.4132","0.60%"
"Jun 01, 2021","10.4161","10.3800","10.4621","10.3453","0.47%"
"May 31, 2021","10.3678","10.4334","10.4762","10.3126","-0.51%"
"May 28, 2021","10.4214","10.3646","10.4803","10.2926","0.75%"
"May 27, 2021","10.3438","10.3099","10.4221","10.2593","0.42%"
"May 26, 2021","10.3007","10.3692","10.3813","10.2904","-0.55%"
"May 25, 2021","10.3572","10.2455","10.3979","10.2252","1.22%"
"May 24, 2021","10.2319","10.2502","10.2835","10.1926","-0.06%"
"May 21, 2021","10.2384","10.2474","10.2815","10.1765","0.05%"
"May 20, 2021","10.2332","10.2403","10.2658","10.1610","0.05%"
"May 19, 2021","10.2285","10.2126","10.3080","10.1992","0.30%"
"May 18, 2021","10.1978","10.1033","10.2308","10.0864","1.01%"
"May 17, 2021","10.0959","10.2672","10.2903","10.0739","-1.48%"
"May 14, 2021","10.2477","10.2711","10.3074","10.1685","-0.14%"
"May 13, 2021","10.2620","10.1772","10.2920","10.1533","1.00%"
"May 12, 2021","10.1602","10.0686","10.2201","10.0256","0.99%"
"May 11, 2021","10.0610","10.0421","10.1349","10.0236","0.35%"
"May 10, 2021","10.0264","10.0170","10.0801","9.9944","0.12%"
