"Date","Price","Open","High","Low","Change %"
"Jul 26, 2021","11.8433","11.7650","11.8572","11.7492","0.64%"
"Jul 25, 2021","11.7676","11.7628","11.7883","11.7628","0.19%"
"Jul 23, 2021","11.7458","11.7873","11.8047","11.6823","-0.23%"
"Jul 22, 2021","11.7723","11.7073","11.8203","11.6749","0.34%"
"Jul 21, 2021","11.7326","11.6769","11.7775","11.6200","0.56%"
"Jul 20, 2021","11.6678","11.7432","11.7789","11.5514","-0.42%"
"Jul 19, 2021","11.7172","11.7516","11.8172","11.6623","-0.04%"
"Jul 16, 2021","11.7216","11.8519","11.8759","11.6764","-0.98%"
"Jul 15, 2021","11.8382","11.9066","11.9242","11.8092","-0.47%"
"Jul 14, 2021","11.8940","11.9150","11.9824","11.8693","-0.06%"
"Jul 13, 2021","11.9007","11.9979","12.0140","11.8477","-0.70%"
"Jul 12, 2021","11.9845","12.0406","12.0545","11.9275","-0.27%"
"Jul 09, 2021","12.0172","11.9827","12.0543","11.9194","0.33%"
"Jul 08, 2021","11.9782","11.9944","12.0385","11.9256","-0.05%"
"Jul 07, 2021","11.9843","11.9965","12.0401","11.9235","-0.01%"
"Jul 06, 2021","11.9857","12.0086","12.0527","11.9531","-0.07%"
"Jul 05, 2021","11.9941","12.0112","12.0603","11.9718","-0.01%"
"Jul 02, 2021","11.9955","11.9279","12.0431","11.8940","0.74%"
"Jul 01, 2021","11.9070","12.0433","12.0589","11.8864","-1.06%"
"Jun 30, 2021","12.0346","12.0909","12.1260","11.9542","-0.36%"
"Jun 29, 2021","12.0778","12.0556","12.1325","11.9963","0.19%"
"Jun 28, 2021","12.0549","12.1706","12.2098","12.0395","-0.71%"
"Jun 25, 2021","12.1414","12.1257","12.2198","12.0200","0.23%"
"Jun 24, 2021","12.1133","12.0675","12.1489","12.0282","0.53%"
"Jun 23, 2021","12.0498","12.0694","12.1319","11.9861","-0.05%"
"Jun 22, 2021","12.0563","12.2178","12.2497","12.0159","-1.23%"
"Jun 21, 2021","12.2064","12.0733","12.2381","12.0291","1.30%"
"Jun 18, 2021","12.0493","12.1385","12.1665","11.9880","-0.60%"
"Jun 17, 2021","12.1223","12.0396","12.1730","11.9904","0.75%"
"Jun 16, 2021","12.0318","12.0526","12.1127","11.9494","-0.05%"
"Jun 15, 2021","12.0376","11.9527","12.1096","11.9135","0.86%"
"Jun 14, 2021","11.9344","11.8413","11.9736","11.7004","0.94%"
"Jun 11, 2021","11.8234","11.9468","11.9802","11.7091","-0.95%"
"Jun 10, 2021","11.9364","12.1271","12.1409","11.9054","-1.44%"
"Jun 09, 2021","12.1114","12.1834","12.2200","12.0927","-0.48%"
"Jun 08, 2021","12.1703","12.2129","12.2480","12.1092","0.11%"
"Jun 07, 2021","12.1569","12.2663","12.3006","12.1364","-0.78%"
"Jun 04, 2021","12.2521","12.2752","12.3449","12.2226","-0.04%"
"Jun 03, 2021","12.2571","12.1767","12.3364","12.1396","0.80%"
"Jun 02, 2021","12.1598","12.0793","12.4319","12.0651","0.77%"
"Jun 01, 2021","12.0667","12.0652","12.1336","12.0319","0.14%"
"May 31, 2021","12.0504","12.1403","12.1893","11.9828","-0.64%"
"May 28, 2021","12.1285","12.0789","12.2025","11.9890","0.65%"
"May 27, 2021","12.0505","11.9401","12.1250","11.8867","1.01%"
"May 26, 2021","11.9299","11.9724","11.9937","11.8968","-0.23%"
"May 25, 2021","11.9577","11.8751","12.0157","11.8497","0.82%"
"May 24, 2021","11.8599","11.9167","11.9446","11.8211","-0.28%"
"May 21, 2021","11.8928","11.8917","11.9295","11.8354","0.14%"
"May 20, 2021","11.8762","11.8759","11.9159","11.7661","0.14%"
"May 19, 2021","11.8596","11.8553","11.9548","11.8317","0.18%"
"May 18, 2021","11.8385","11.7479","11.8942","11.7340","0.81%"
"May 17, 2021","11.7435","11.9164","11.9487","11.7065","-1.31%"
"May 14, 2021","11.8989","11.9479","11.9731","11.8101","-0.32%"
"May 13, 2021","11.9374","11.8506","11.9614","11.8227","0.93%"
"May 12, 2021","11.8276","11.7218","11.9258","11.6735","0.97%"
"May 11, 2021","11.7136","11.6869","11.7882","11.6663","0.35%"
"May 10, 2021","11.6723","11.5154","11.7243","11.5080","1.46%"
"May 07, 2021","11.5040","11.5024","11.5854","11.4410","0.20%"
"May 06, 2021","11.4808","11.5803","11.6257","11.4773","-0.66%"
"May 05, 2021","11.5569","11.5658","11.6588","11.5367","0.04%"
"May 04, 2021","11.5527","11.4788","11.6015","11.4507","0.73%"
"May 03, 2021","11.4695","11.4621","11.5582","11.4302","0.35%"
"Apr 30, 2021","11.4290","11.4583","11.5420","11.4004","-0.14%"
"Apr 29, 2021","11.4454","11.4269","11.5575","11.3405","0.25%"
"Apr 28, 2021","11.4166","11.4347","11.4691","11.3008","0.11%"
"Apr 27, 2021","11.4046","11.5143","11.5464","11.3565","-0.83%"
"Apr 26, 2021","11.4995","11.6467","11.8091","11.4761","-1.05%"
"Apr 23, 2021","11.6211","11.5192","11.6983","11.4689","1.13%"
"Apr 22, 2021","11.4907","11.4089","11.6701","11.3852","0.88%"
"Apr 21, 2021","11.3903","11.3124","11.4506","11.2874","0.84%"
"Apr 20, 2021","11.2954","11.3235","11.3794","11.2815","-0.10%"
"Apr 19, 2021","11.3071","11.1611","11.3465","11.1153","1.48%"
"Apr 16, 2021","11.1424","11.0553","11.1864","11.0286","1.00%"
"Apr 15, 2021","11.0317","11.1343","11.2513","11.0149","-0.78%"
"Apr 14, 2021","11.1180","11.1644","11.2191","11.0561","-0.33%"
"Apr 13, 2021","11.1551","11.2085","11.2577","11.1288","-0.29%"
"Apr 12, 2021","11.1872","11.2022","11.3118","11.1369","0.10%"
"Apr 09, 2021","11.1759","11.1814","11.2671","11.1204","0.12%"
"Apr 08, 2021","11.1623","11.2107","11.2846","11.1529","-0.04%"
"Apr 07, 2021","11.1671","11.2564","11.3603","11.1671","-0.59%"
"Apr 06, 2021","11.2334","11.2757","11.3497","11.2238","-0.18%"
"Apr 05, 2021","11.2539","11.2951","11.4218","11.2288","-0.14%"
"Apr 02, 2021","11.2694","11.2361","11.3312","11.0331","0.55%"
"Apr 01, 2021","11.2073","11.3688","11.4242","11.1762","-1.34%"
"Mar 31, 2021","11.3593","11.4539","11.5606","11.3250","-0.76%"
"Mar 30, 2021","11.4462","11.2970","11.6440","11.2740","1.56%"
"Mar 29, 2021","11.2700","11.2275","11.3587","11.0206","0.50%"
"Mar 26, 2021","11.2141","10.9168","11.2539","10.8884","2.84%"
"Mar 25, 2021","10.9049","10.8603","10.9874","10.7860","0.64%"
"Mar 24, 2021","10.8352","10.9191","11.0310","10.7307","-0.74%"
"Mar 23, 2021","10.9164","10.8149","11.0061","10.6035","1.00%"
"Mar 22, 2021","10.8080","10.0098","11.2845","9.9831","8.02%"
"Mar 19, 2021","10.0058","10.2007","10.2576","9.9818","-1.79%"
"Mar 18, 2021","10.1885","10.4812","10.5559","10.1571","-2.73%"
"Mar 17, 2021","10.4746","10.4119","10.6124","10.3846","0.67%"
"Mar 16, 2021","10.4046","10.4752","10.4840","10.3394","-0.56%"
"Mar 15, 2021","10.4637","10.5286","10.5928","10.4382","-0.56%"
"Mar 12, 2021","10.5231","10.4617","10.6152","10.4478","0.81%"
"Mar 11, 2021","10.4382","10.4523","10.5422","10.3596","-0.05%"
"Mar 10, 2021","10.4431","10.5814","10.6258","10.4216","-1.25%"
"Mar 09, 2021","10.5748","10.7457","10.7675","10.5471","-1.55%"
"Mar 08, 2021","10.7410","10.4314","10.7657","10.3792","2.99%"
"Mar 05, 2021","10.4289","10.4275","10.4972","10.3057","0.10%"
"Mar 04, 2021","10.4190","10.4122","10.5319","10.3406","0.14%"
"Mar 03, 2021","10.4041","10.2585","10.4795","10.1846","1.49%"
"Mar 02, 2021","10.2515","10.1518","10.3327","10.1162","1.21%"
"Mar 01, 2021","10.1287","10.3502","10.3783","10.0520","-2.05%"
"Feb 26, 2021","10.3412","10.2863","10.4443","10.1794","0.62%"
"Feb 25, 2021","10.2778","10.1369","10.4551","10.1187","1.46%"
"Feb 24, 2021","10.1303","10.0280","10.2369","10.0159","1.09%"
"Feb 23, 2021","10.0209","9.8714","10.0450","9.8570","1.60%"
"Feb 22, 2021","9.8629","9.7596","9.9506","9.7516","1.14%"
"Feb 19, 2021","9.7519","9.7378","9.7998","9.7255","0.31%"
"Feb 18, 2021","9.7214","9.6621","9.7748","9.6383","0.73%"
"Feb 17, 2021","9.6510","9.7221","9.8000","9.6349","-0.62%"
"Feb 16, 2021","9.7110","9.6812","9.7557","9.5963","0.38%"
"Feb 15, 2021","9.6743","9.7424","9.7746","9.6539","-0.60%"
"Feb 12, 2021","9.7329","9.7072","9.7569","9.6624","0.32%"
"Feb 11, 2021","9.7023","9.7680","9.7961","9.6930","-0.52%"
"Feb 10, 2021","9.7526","9.7609","9.7986","9.7320","0.03%"
"Feb 09, 2021","9.7501","9.7160","9.8370","9.7106","0.43%"
"Feb 08, 2021","9.7088","9.6841","9.7681","9.6412","0.30%"
"Feb 05, 2021","9.6801","9.7585","9.7838","9.6501","-0.73%"
"Feb 04, 2021","9.7512","9.7736","9.7983","9.6381","-0.14%"
"Feb 03, 2021","9.7650","9.8336","9.8551","9.7302","-0.64%"
"Feb 02, 2021","9.8275","9.8308","9.8469","9.7051","0.08%"
"Feb 01, 2021","9.8199","10.0309","10.0412","9.7828","-1.94%"
"Jan 29, 2021","10.0138","10.0716","10.1296","9.9698","-0.45%"
"Jan 28, 2021","10.0593","10.1248","10.1679","10.0314","-0.55%"
"Jan 27, 2021","10.1149","10.0953","10.1563","10.0776","0.27%"
